                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1229,                  1.924,                 1.2177,                   0.01,                      1,                  0.995,                0.89249,                0.42676,                 2.2825,                0.95735,             0.00065556,             0.00065556,             0.00065556
                      2,                 0.4767,                0.72889,                0.87655,                0.99722,                0.99688,                0.99494,                0.89299,                0.51544,                 1.2797,                0.94194,              0.0012786,              0.0012786,              0.0012786
                      3,                0.47704,                0.60639,                0.85802,                0.99967,                      1,                  0.995,                 0.8952,                0.49164,                 0.5498,                0.93978,              0.0018576,              0.0018576,              0.0018576
                      4,                0.39344,                0.49059,                0.84795,                0.99984,                      1,                  0.995,                0.93191,                 0.3764,                0.42115,                0.89574,               0.001802,               0.001802,               0.001802
                      5,                0.39648,                0.42828,                0.85013,                0.99984,                      1,                  0.995,                  0.939,                0.36016,                0.33233,                0.91466,               0.001736,               0.001736,               0.001736
                      6,                0.37774,                 0.3924,                0.84155,                0.99975,                      1,                  0.995,                0.91693,                0.39146,                0.33953,                 0.8862,                0.00167,                0.00167,                0.00167
                      7,                0.35034,                0.35938,                0.82961,                0.99984,                      1,                  0.995,                0.90485,                0.42877,                0.28946,                0.88821,               0.001604,               0.001604,               0.001604
                      8,                0.29239,                0.31219,                0.82577,                0.99984,                      1,                  0.995,                0.97598,                0.27988,                 0.2307,                0.88785,               0.001538,               0.001538,               0.001538
                      9,                0.28119,                0.28982,                0.82525,                0.99985,                      1,                  0.995,                0.95617,                0.26404,                0.21343,                0.87081,               0.001472,               0.001472,               0.001472
                     10,                0.26778,                0.27335,                0.82681,                0.99985,                      1,                  0.995,                0.98952,                0.28008,                0.22667,                0.86347,               0.001406,               0.001406,               0.001406
                     11,                 0.2416,                0.25319,                 0.8188,                0.99985,                      1,                  0.995,                0.99481,                0.21819,                0.20088,                0.85568,                0.00134,                0.00134,                0.00134
                     12,                0.24893,                0.24787,                 0.8201,                0.99985,                      1,                  0.995,                0.99301,                0.27432,                0.20804,                0.87248,               0.001274,               0.001274,               0.001274
                     13,                0.24365,                0.23525,                0.81664,                0.99985,                      1,                  0.995,                0.98725,                0.29669,                 0.2361,                0.86697,               0.001208,               0.001208,               0.001208
                     14,                0.22824,                0.22451,                0.81293,                0.99985,                      1,                  0.995,                0.98409,                 0.2144,                0.20555,                0.86302,               0.001142,               0.001142,               0.001142
                     15,                0.19411,                0.20681,                 0.8167,                0.99985,                      1,                  0.995,                  0.995,                0.15775,                0.18044,                0.84781,               0.001076,               0.001076,               0.001076
                     16,                0.19588,                0.20501,                0.81196,                0.99985,                      1,                  0.995,                  0.995,                0.17872,                0.16028,                0.85345,                0.00101,                0.00101,                0.00101
                     17,                 0.1862,                0.19744,                0.81029,                0.99985,                      1,                  0.995,                  0.995,                0.13309,                0.13365,                0.85395,               0.000944,               0.000944,               0.000944
                     18,                0.17762,                0.18843,                0.80462,                0.99985,                      1,                  0.995,                0.98772,                 0.2315,                0.16186,                0.85609,               0.000878,               0.000878,               0.000878
                     19,                0.17918,                 0.1892,                0.80897,                0.99985,                      1,                  0.995,                  0.995,                0.16636,                0.14061,                0.84665,               0.000812,               0.000812,               0.000812
                     20,                0.16779,                0.18235,                0.80769,                0.99985,                      1,                  0.995,                  0.995,                0.14594,                0.13667,                0.85424,               0.000746,               0.000746,               0.000746
                     21,                 0.1687,                0.17435,                0.79442,                0.99985,                      1,                  0.995,                  0.995,                0.14023,                0.13473,                0.84434,                0.00068,                0.00068,                0.00068
                     22,                0.14986,                0.16286,                0.79327,                0.99985,                      1,                  0.995,                  0.995,                0.08685,                0.11142,                0.84017,               0.000614,               0.000614,               0.000614
                     23,                0.13374,                0.15016,                0.78475,                0.99985,                      1,                  0.995,                  0.995,                 0.1134,                0.11312,                 0.8421,               0.000548,               0.000548,               0.000548
                     24,                0.12022,                0.14114,                0.78772,                0.99985,                      1,                  0.995,                  0.995,                0.11183,                0.11419,                0.84809,               0.000482,               0.000482,               0.000482
                     25,                0.11608,                0.13475,                0.77811,                0.99985,                      1,                  0.995,                  0.995,                0.08597,                0.10314,                0.84942,               0.000416,               0.000416,               0.000416
                     26,                0.11618,                0.13486,                 0.7833,                0.99985,                      1,                  0.995,                  0.995,                0.12271,                0.10609,                0.84476,                0.00035,                0.00035,                0.00035
                     27,                0.10765,                0.12568,                0.78178,                0.99985,                      1,                  0.995,                  0.995,                0.06958,                0.09039,                 0.8343,               0.000284,               0.000284,               0.000284
                     28,                0.09971,                0.12062,                0.78465,                0.99985,                      1,                  0.995,                  0.995,                0.09023,                0.10303,                0.83629,               0.000218,               0.000218,               0.000218
                     29,                0.09426,                0.11477,                0.78069,                0.99986,                      1,                  0.995,                  0.995,                  0.084,                0.09244,                0.83446,               0.000152,               0.000152,               0.000152
                     30,                0.08765,                0.10899,                0.78641,                0.99985,                      1,                  0.995,                  0.995,                0.07174,                0.08535,                0.83438,                8.6e-05,                8.6e-05,                8.6e-05
